header.stamp.sec,header.stamp.nanosec,time,header.frame_id,velocity
0,0,1675407640.7738287,,-2306.0
0,0,1675407641.0258827,,-1312.0
0,0,1675407641.044989,,-1259.0
0,0,1675407641.0539455,,-1231.0
0,0,1675407641.265866,,-349.0
0,0,1675407641.2749069,,-326.0
0,0,1675407641.285032,,-293.0
0,0,1675407641.2939067,,-253.0
0,0,1675407641.3048828,,-209.0
0,0,1675407641.5257983,,747.0
0,0,1675407641.5348268,,772.0
0,0,1675407641.5458965,,816.0
0,0,1675407641.7600114,,1730.0
0,0,1675407641.777838,,1789.0
0,0,1675407642.0161338,,2739.0
0,0,1675407642.0258307,,2766.0
0,0,1675407642.0338378,,2795.0
0,0,1675407642.044909,,2828.0
0,0,1675407642.0558996,,2868.0
0,0,1675407642.2661214,,3636.0
0,0,1675407642.284149,,3684.0
0,0,1675407642.304135,,3733.0
0,0,1675407642.5149062,,4372.0
0,0,1675407642.525419,,4388.0
0,0,1675407642.5430849,,4417.0
0,0,1675407642.7501712,,4939.0
0,0,1675407642.770183,,4958.0
0,0,1675407642.7778509,,4970.0
0,0,1675407643.0258596,,5306.0
0,0,1675407643.0448844,,5308.0
0,0,1675407643.0559413,,5310.0
0,0,1675407643.2649293,,5423.0
0,0,1675407643.2738252,,5423.0
0,0,1675407643.3018632,,5422.0
0,0,1675407643.516043,,5360.0
0,0,1675407643.5259488,,5359.0
0,0,1675407643.5438557,,5352.0
0,0,1675407643.5538983,,5338.0
0,0,1675407643.7503047,,5074.0
0,0,1675407643.7703114,,5068.0
0,0,1675407644.0249736,,4573.0
0,0,1675407644.0338702,,4568.0
0,0,1675407644.0439959,,4558.0
0,0,1675407644.2659817,,3985.0
0,0,1675407644.2851481,,3953.0
0,0,1675407644.3059788,,3913.0
0,0,1675407644.5153465,,3251.0
0,0,1675407644.5255268,,3230.0
0,0,1675407644.5347042,,3208.0
0,0,1675407644.5455246,,3186.0
0,0,1675407644.555463,,3160.0
0,0,1675407644.749872,,2434.0
0,0,1675407644.7597992,,2403.0
0,0,1675407644.7698362,,2378.0
0,0,1675407644.7778478,,2348.0
0,0,1675407645.0158823,,1334.0
0,0,1675407645.0257738,,1309.0
0,0,1675407645.0349264,,1284.0
0,0,1675407645.0438251,,1256.0
0,0,1675407645.054895,,1228.0
0,0,1675407645.2659104,,352.0
0,0,1675407645.2850113,,305.0
0,0,1675407645.293941,,275.0
0,0,1675407645.307033,,234.0
0,0,1675407645.516065,,-689.0
0,0,1675407645.5250077,,-719.0
0,0,1675407645.53302,,-750.0
0,0,1675407645.5437999,,-786.0
0,0,1675407645.7499661,,-1690.0
0,0,1675407645.7599406,,-1726.0
0,0,1675407645.769977,,-1764.0
0,0,1675407645.7799544,,-1799.0
0,0,1675407646.0238438,,-2774.0
0,0,1675407646.0437677,,-2826.0
0,0,1675407646.2659357,,-3620.0
0,0,1675407646.273972,,-3639.0
0,0,1675407646.2838435,,-3659.0
0,0,1675407646.2937858,,-3687.0
0,0,1675407646.3038168,,-3717.0
0,0,1675407646.5250285,,-4383.0
0,0,1675407646.5338116,,-4401.0
0,0,1675407646.543066,,-4421.0
0,0,1675407646.5538127,,-4439.0
0,0,1675407646.750036,,-4931.0
0,0,1675407646.7600026,,-4943.0
0,0,1675407646.7699986,,-4956.0
0,0,1675407646.7769616,,-4973.0
0,0,1675407647.024045,,-5297.0
0,0,1675407647.0338943,,-5298.0
0,0,1675407647.0440552,,-5300.0
0,0,1675407647.0521164,,-5306.0
0,0,1675407647.2650263,,-5420.0
0,0,1675407647.2750309,,-5420.0
0,0,1675407647.2839856,,-5420.0
0,0,1675407647.293926,,-5420.0
0,0,1675407647.3038015,,-5420.0
0,0,1675407647.5151358,,-5370.0
0,0,1675407647.5250955,,-5363.0
0,0,1675407647.5440302,,-5362.0
0,0,1675407647.5520039,,-5360.0
0,0,1675407647.7498672,,-5061.0
0,0,1675407647.7599747,,-5055.0
0,0,1675407647.7701097,,-5051.0
0,0,1675407647.7798786,,-5043.0
0,0,1675407647.7901464,,-5029.0
0,0,1675407648.0159826,,-4574.0
0,0,1675407648.0251913,,-4566.0
0,0,1675407648.0349252,,-4563.0
0,0,1675407648.0450737,,-4551.0
0,0,1675407648.0553503,,-4536.0
0,0,1675407648.264012,,-3991.0
0,0,1675407648.273923,,-3978.0
0,0,1675407648.2827811,,-3962.0
0,0,1675407648.293999,,-3940.0
0,0,1675407648.303042,,-3911.0
0,0,1675407648.5249767,,-3196.0
0,0,1675407648.5442126,,-3163.0
0,0,1675407648.5542552,,-3147.0
0,0,1675407648.7500641,,-2415.0
0,0,1675407648.7599273,,-2389.0
0,0,1675407648.769996,,-2349.0
0,0,1675407648.7799084,,-2303.0
0,0,1675407649.0238726,,-1339.0
0,0,1675407649.0438857,,-1289.0
0,0,1675407649.052806,,-1262.0
0,0,1675407649.264957,,-374.0
0,0,1675407649.2838795,,-322.0
0,0,1675407649.2931316,,-286.0
0,0,1675407649.3018336,,-247.0
0,0,1675407649.515996,,713.0
0,0,1675407649.5239294,,740.0
0,0,1675407649.5339315,,768.0
0,0,1675407649.543872,,803.0
0,0,1675407649.5550199,,844.0
0,0,1675407649.7507367,,1676.0
0,0,1675407649.7701557,,1745.0
0,0,1675407649.7901528,,1816.0
0,0,1675407650.015869,,2745.0
0,0,1675407650.0249882,,2771.0
0,0,1675407650.043002,,2830.0
0,0,1675407650.0550416,,2865.0
0,0,1675407650.2641206,,3611.0
0,0,1675407650.282984,,3662.0
0,0,1675407650.3034282,,3711.0
0,0,1675407650.5331068,,4408.0
0,0,1675407650.544121,,4428.0
0,0,1675407650.7508771,,4936.0
0,0,1675407650.76007,,4942.0
0,0,1675407650.7703865,,4949.0
0,0,1675407651.0147738,,5299.0
0,0,1675407651.0250702,,5299.0
0,0,1675407651.0338905,,5301.0
0,0,1675407651.0440104,,5306.0
0,0,1675407651.0559213,,5311.0
0,0,1675407651.2639093,,5430.0
0,0,1675407651.2840111,,5430.0
0,0,1675407651.293055,,5430.0
0,0,1675407651.3029854,,5429.0
0,0,1675407651.5240486,,5358.0
0,0,1675407651.5338883,,5355.0
0,0,1675407651.544889,,5344.0
0,0,1675407651.7531407,,5091.0
0,0,1675407651.7731595,,5089.0
