header.stamp.sec,header.stamp.nanosec,Time,header.frame_id,velocity
0,0,1675815974.4894147,,-9223.0
0,0,1675815974.4986818,,-9230.0
0,0,1675815974.510471,,-9233.0
0,0,1675815974.7187848,,-9235.0
0,0,1675815974.728804,,-9235.0
0,0,1675815974.747659,,-9235.0
0,0,1675815974.958784,,-9235.0
0,0,1675815974.9824522,,-9235.0
0,0,1675815975.0014741,,-9235.0
0,0,1675815975.2187088,,-9235.0
0,0,1675815975.2287629,,-9235.0
0,0,1675815975.2386992,,-9235.0
0,0,1675815975.2485034,,-9235.0
0,0,1675815975.2588112,,-9235.0
0,0,1675815975.4687643,,-9410.0
0,0,1675815975.4874356,,-9410.0
0,0,1675815975.5063412,,-9410.0
0,0,1675815975.7186048,,-9409.0
0,0,1675815975.728367,,-9409.0
0,0,1675815975.7374332,,-9409.0
0,0,1675815975.747484,,-9409.0
0,0,1675815975.7590988,,-9409.0
0,0,1675815975.9807367,,-9408.0
0,0,1675815975.9905338,,-9408.0
0,0,1675815975.9994934,,-9408.0
0,0,1675815976.2276058,,-9406.0
0,0,1675815976.2376487,,-9406.0
0,0,1675815976.2476041,,-9405.0
0,0,1675815976.2564957,,-9404.0
0,0,1675815976.4686692,,-8961.0
0,0,1675815976.4774482,,-8882.0
0,0,1675815976.4873064,,-8827.0
0,0,1675815976.5073628,,-8754.0
0,0,1675815976.7287092,,-7741.0
0,0,1675815976.7377825,,-7721.0
0,0,1675815976.7477498,,-7700.0
0,0,1675815976.981449,,-7546.0
0,0,1675815977.0005062,,-7546.0
0,0,1675815977.2274828,,-7547.0
0,0,1675815977.23751,,-7547.0
0,0,1675815977.2484722,,-7547.0
0,0,1675815977.4686494,,-7469.0
0,0,1675815977.4774692,,-7469.0
0,0,1675815977.4874098,,-7469.0
0,0,1675815977.507413,,-7469.0
0,0,1675815977.7274334,,-7469.0
0,0,1675815977.7473764,,-7469.0
0,0,1675815977.9584618,,-7469.0
0,0,1675815977.9803762,,-7469.0
0,0,1675815978.0003798,,-7469.0
0,0,1675815978.2275581,,-7469.0
0,0,1675815978.247916,,-7469.0
0,0,1675815978.4694445,,-7917.0
0,0,1675815978.477495,,-7960.0
0,0,1675815978.4873455,,-8005.0
0,0,1675815978.5073771,,-8119.0
0,0,1675815978.7273772,,-9495.0
0,0,1675815978.7375114,,-9543.0
0,0,1675815978.7473767,,-9591.0
0,0,1675815978.756532,,-9635.0
0,0,1675815978.96636,,-10209.0
0,0,1675815978.981475,,-10221.0
0,0,1675815978.9905763,,-10231.0
0,0,1675815979.0005455,,-10242.0
0,0,1675815979.2287214,,-10247.0
0,0,1675815979.2487998,,-10247.0
0,0,1675815979.4693959,,-9801.0
0,0,1675815979.4786,,-9771.0
0,0,1675815979.488417,,-9714.0
0,0,1675815979.497511,,-9634.0
0,0,1675815979.508615,,-9577.0
